	Subject	CRN	Subject Abbr	Course Number	Section	Campus	Credit Hours	Title	Days	Time	Section Capacity	Section Actual	Section Remaining	Waitlist Capacity	Waitlist Actual	Waitlist Remaining	Instructor(s)	Date	Location	Attributes
0	Accounting	20053	ACC	2000	0	D	3.000	Accounting and Financial Reporting: A User's Perspective	N/A	TBD	29	27	2	0	0	0	Amie Leigh  Haun	01/10-05/03	XX HYBRID	COBA Differential Course Fee and Course Materials Charge and Lower Division Credit and Potential Test Proctoring Fee
1	Accounting	20054	ACC	2010	0	D	3.000	Principles of Accounting I	N/A	TBD	48	45	3	0	0	0	Amie Leigh  Haun	01/10-05/03	XX HYBRID	COBA Differential Course Fee and Lower Division Credit and Potential Test Proctoring Fee
2	Accounting	20055	ACC	2010	01	C	3.000	Principles of Accounting I	TR	08:00 am-09:15 am	75	73	2	0	0	0	Joanie E  Sompayrac	01/10-05/03	FLET 105	COBA Differential Course Fee and Lower Division Credit
3	Accounting	23178	ACC	2010	03	C	3.000	Principles of Accounting I	TR	10:50 am-12:05 pm	40	40	0	0	0	0	Stephan Arthur  Davenport	01/10-05/03	FLET 200	COBA Differential Course Fee and Lower Division Credit
4	Accounting	21129	ACC	2010	05	C	3.000	Principles of Accounting I	T	05:30 pm-08:00 pm	40	35	5	0	0	0	Lynn Hart  Davis	01/10-05/03	FLET 200	COBA Differential Course Fee and Lower Division Credit
5	Accounting	20789	ACC	2010	06	C	3.000	Principles of Accounting I	MWF	10:00 am-10:50 am	48	27	21	0	0	0	Amie Leigh  Haun	01/10-05/03	FLET 114	COBA Differential Course Fee and Lower Division Credit
6	Accounting	23175	ACC	2010	09	C	3.000	Principles of Accounting I	MW	03:25 pm-04:40 pm	40	31	9	0	0	0	Amie Leigh  Haun	01/10-05/03	FLET 125	COBA Differential Course Fee and Lower Division Credit
7	Accounting	20057	ACC	2020	0	C	3.000	Principles of Accounting II	MWF	11:00 am-11:50 am	40	36	4	0	0	0	Amie Leigh  Haun	01/10-05/03	FLET 114	COBA Differential Course Fee and Lower Division Credit
8	Accounting	20058	ACC	2020	01	C	3.000	Principles of Accounting II	TR	03:05 pm-04:20 pm	45	45	0	0	0	0	Warren Ervin  McEwen	01/10-05/03	FLET 210	COBA Differential Course Fee and Lower Division Credit
9	Accounting	20932	ACC	2020	02	D	3.000	Principles of Accounting II	N/A	TBD	48	35	13	0	0	0	Surani   Vincent	01/10-05/03	XX INTERNET	COBA Differential Course Fee and Lower Division Credit and Potential Test Proctoring Fee
10	Accounting	20059	ACC	2020	04	C	3.000	Principles of Accounting II	TR	01:40 pm-02:55 pm	45	43	2	0	0	0	Warren Ervin  McEwen	01/10-05/03	FLET 125	COBA Differential Course Fee and Lower Division Credit
11	Accounting	21134	ACC	2020	06	C	3.000	Principles of Accounting II	M	05:30 pm-08:00 pm	45	36	9	0	0	0	Warren Ervin  McEwen	01/10-05/03	FLET 125	COBA Differential Course Fee and Lower Division Credit
12	Accounting	21131	ACC	2020	07	C	3.000	Principles of Accounting II	TR	09:25 am-10:40 am	0	13	-13	0	0	0	Warren Ervin  McEwen	01/10-05/03	FLET 211	COBA Differential Course Fee and Lower Division Credit
13	Accounting	23183	ACC	2020	08	C	3.000	Principles of Accounting II	MWF	12:00 pm-12:50 pm	40	15	25	0	0	0	Amie Leigh  Haun	01/10-05/03	FLET 114	COBA Differential Course Fee and Lower Division Credit
14	Accounting	21132	ACC	2020	3	C	3.000	Principles of Accounting II	TR	12:15 pm-01:30 pm	40	15	25	0	0	0	Surani   Vincent	01/10-05/03	FLET 201	COBA Differential Course Fee and Lower Division Credit
15	Accounting	20950	ACC	3000	0	D	3.000	Intermediate Accounting I	N/A	TBD	40	16	24	0	0	0	Stephan Arthur  Davenport	01/10-05/03	XX INTERNET	COBA Differential Course Fee and Potential Test Proctoring Fee and Upper Division Credit
16	Accounting	21055	ACC	3000	01	C	3.000	Intermediate Accounting I	TR	03:05 pm-04:20 pm	40	22	18	0	0	0	Stephan Arthur  Davenport	01/10-05/03	FLET 200	COBA Differential Course Fee and Upper Division Credit
17	Accounting	20060	ACC	3010	0	C	3.000	Intermediate Accounting II	TR	12:15 pm-01:30 pm	40	30	10	0	0	0	John M  Trussel	01/10-05/03	FLET 200	COBA Differential Course Fee and Upper Division Credit
